year,month,mean_daily_precipitation_mm,derived_monthly_total_mm
2007,9,2.76,82.8
2007,10,5.02,155.62
2007,11,7.88,236.4
2007,12,6.58,203.98
2008,1,10.37,321.47
2008,2,3.78,109.62
2008,3,5.63,174.53
2008,4,3.27,98.1
2008,5,4.65,144.15
2008,6,5.86,175.8
2008,7,2.64,81.84
2008,8,0.64,19.84
2008,9,3.4,102.0
2008,10,2.34,72.54
2008,11,6.61,198.3
2008,12,6.69,207.39
2009,1,8.1,251.1
2009,2,4.24,118.72
2009,3,4.3,133.3
2009,4,7.1,213.0
2009,5,4.77,147.87
2009,6,3.07,92.1
2009,7,0.72,22.32
2009,8,1.41,43.71
2009,9,2.38,71.4
2009,10,1.96,60.76
2009,11,6.48,194.4
2009,12,5.64,174.84
2010,1,9.1,282.1
2010,2,8.21,229.88
2010,3,4.12,127.72
2010,4,5.51,165.3
2010,5,2.24,69.44
2010,6,1.69,50.7
2010,7,2.17,67.27
2010,8,0.89,27.59
2010,9,3.8,114.0
2010,10,6.82,211.42
2010,11,8.28,248.4
2010,12,9.18,284.58
2011,1,16.6,514.6
2011,2,10.19,285.32
2011,3,1.64,50.84
2011,4,1.63,48.9
2011,5,0.37,11.47
2011,6,0.7,21.0
2011,7,0.06,1.86
2011,8,0.26,8.06
2011,9,0.15,4.5
2011,10,4.79,148.49
2011,11,9.62,288.6
2011,12,5.44,168.64
2012,1,8.09,250.79
2012,2,7.82,226.78
2012,3,11.29,349.99
2012,4,4.81,144.3
2012,5,4.9,151.9
2012,6,1.57,47.1
2012,7,1.3,40.3
2012,8,0.79,24.49
2012,9,1.57,47.1
2012,10,3.5,108.5
2012,11,6.02,180.6
2012,12,7.66,237.46
2013,1,15.49,480.19
2013,2,6.56,183.68
2013,3,6.59,204.29
2013,4,5.7,171.0
2013,5,3.87,119.97
2013,6,3.83,114.9
2013,7,4.31,133.61
2013,8,4.6,142.6
2013,9,3.22,96.6
2013,10,4.04,125.24
2013,11,6.42,192.6
